"Year","Academic Discipline, Broad (standardized)","Level of Degree or Other Award","Highest Degree (standardized)","Degrees/Awards Conferred (NCES population of institutions)(Sum)"
1988,"Vocational Studies and Home Economics","Bachelor's Degrees","Doctorate-granting Institutions",15794
1988,"Vocational Studies and Home Economics","Bachelor's Degrees","First Professional Institutions",644
1988,"Vocational Studies and Home Economics","Bachelor's Degrees","Master's-granting Institutions",10028
1988,"Vocational Studies and Home Economics","Bachelor's Degrees","Bachelor's-granting Institutions",1342
1988,"Other Non-sciences or Unknown Disciplines","Doctorate Degrees","Doctorate-granting Institutions",823
1988,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Doctorate-granting Institutions",20054
1988,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","First Professional Institutions",910
1988,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Master's-granting Institutions",18521
1988,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Bachelor's-granting Institutions",6728
1989,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",4530
1989,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",55793
1989,"Engineering","Bachelor's Degrees","First Professional Institutions",478
1989,"Engineering","Bachelor's Degrees","Master's-granting Institutions",8914
1989,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1762
1989,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",3285
1989,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",7586
1989,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",401
1989,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",4125
1989,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2036
1989,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",559
1989,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1995
1989,"Geosciences","Bachelor's Degrees","First Professional Institutions",24
1989,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",894
1989,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",268
1989,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",1420
1989,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",22559
1989,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",1446
1989,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",16821
1989,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",5451
1989,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",5746
1989,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",58697
1989,"Life Sciences","Bachelor's Degrees","First Professional Institutions",3399
1989,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",27856
1989,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",8064
1989,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",3275
1989,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",27175
1989,"Psychology","Bachelor's Degrees","First Professional Institutions",1223
1989,"Psychology","Bachelor's Degrees","Master's-granting Institutions",15283
1989,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",5273
1989,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",3044
1989,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",62135
1989,"Social Sciences","Bachelor's Degrees","First Professional Institutions",2305
1989,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",22615
1989,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",10728
1989,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",217
1989,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",12395
1989,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",675
1989,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",10964
1989,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",3936
1989,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",77
1989,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",1512
1989,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",312
1989,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",640
1989,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",499
1989,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2230
1989,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",45504
1989,"Humanities","Bachelor's Degrees","First Professional Institutions",1873
1989,"Humanities","Bachelor's Degrees","Master's-granting Institutions",19988
1989,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",9816
1989,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",1324
1989,"Religion and Theology","Bachelor's Degrees","Doctorate-granting Institutions",1472
1989,"Religion and Theology","Bachelor's Degrees","First Professional Institutions",688
1989,"Religion and Theology","Bachelor's Degrees","Master's-granting Institutions",1667
1989,"Religion and Theology","Bachelor's Degrees","Bachelor's-granting Institutions",2769
1989,"Arts and Music","Doctorate Degrees","Doctorate-granting Institutions",762
1989,"Arts and Music","Bachelor's Degrees","Doctorate-granting Institutions",19562
1989,"Arts and Music","Bachelor's Degrees","First Professional Institutions",666
1989,"Arts and Music","Bachelor's Degrees","Master's-granting Institutions",13777
1989,"Arts and Music","Bachelor's Degrees","Bachelor's-granting Institutions",4358
1989,"Architecture and Environmental Design","Doctorate Degrees","Doctorate-granting Institutions",86
1989,"Architecture and Environmental Design","Bachelor's Degrees","Doctorate-granting Institutions",6929
1989,"Architecture and Environmental Design","Bachelor's Degrees","First Professional Institutions",181
1989,"Architecture and Environmental Design","Bachelor's Degrees","Master's-granting Institutions",1736
1989,"Architecture and Environmental Design","Bachelor's Degrees","Bachelor's-granting Institutions",363
1989,"Education","Doctorate Degrees","Doctorate-granting Institutions",6827
1989,"Education","Bachelor's Degrees","Doctorate-granting Institutions",44406
1989,"Education","Bachelor's Degrees","First Professional Institutions",2601
1989,"Education","Bachelor's Degrees","Master's-granting Institutions",42711
1989,"Education","Bachelor's Degrees","Bachelor's-granting Institutions",10745
1989,"Business and Management","Doctorate Degrees","Doctorate-granting Institutions",1210
1989,"Business and Management","Bachelor's Degrees","Doctorate-granting Institutions",125106
1989,"Business and Management","Bachelor's Degrees","First Professional Institutions",8078
1989,"Business and Management","Bachelor's Degrees","Master's-granting Institutions",93934
1989,"Business and Management","Bachelor's Degrees","Bachelor's-granting Institutions",26618
1989,"Communication and Librarianship","Doctorate Degrees","Doctorate-granting Institutions",303
1989,"Communication and Librarianship","Bachelor's Degrees","Doctorate-granting Institutions",30451
1989,"Communication and Librarianship","Bachelor's Degrees","First Professional Institutions",1134
1989,"Communication and Librarianship","Bachelor's Degrees","Master's-granting Institutions",13926
1989,"Communication and Librarianship","Bachelor's Degrees","Bachelor's-granting Institutions",2302
1989,"Law","Doctorate Degrees","Doctorate-granting Institutions",76
1989,"Law","Bachelor's Degrees","Doctorate-granting Institutions",974
1989,"Law","Bachelor's Degrees","First Professional Institutions",284
1989,"Law","Bachelor's Degrees","Master's-granting Institutions",177
1989,"Law","Bachelor's Degrees","Bachelor's-granting Institutions",18
1989,"Social Service Professions","Doctorate Degrees","Doctorate-granting Institutions",205
1989,"Social Service Professions","Bachelor's Degrees","Doctorate-granting Institutions",4358
1989,"Social Service Professions","Bachelor's Degrees","First Professional Institutions",335
1989,"Social Service Professions","Bachelor's Degrees","Master's-granting Institutions",4433
1989,"Social Service Professions","Bachelor's Degrees","Bachelor's-granting Institutions",1052
1989,"Vocational Studies and Home Economics","Doctorate Degrees","Doctorate-granting Institutions",289
1989,"Vocational Studies and Home Economics","Bachelor's Degrees","Doctorate-granting Institutions",16430
1989,"Vocational Studies and Home Economics","Bachelor's Degrees","First Professional Institutions",641
1989,"Vocational Studies and Home Economics","Bachelor's Degrees","Master's-granting Institutions",10425
1989,"Vocational Studies and Home Economics","Bachelor's Degrees","Bachelor's-granting Institutions",1507
1989,"Other Non-sciences or Unknown Disciplines","Doctorate Degrees","Doctorate-granting Institutions",326
1989,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Doctorate-granting Institutions",20921
1989,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","First Professional Institutions",838
1989,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Master's-granting Institutions",20500
1989,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Bachelor's-granting Institutions",7678
1990,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",4956
1990,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",53338
1990,"Engineering","Bachelor's Degrees","First Professional Institutions",490
1990,"Engineering","Bachelor's Degrees","Master's-granting Institutions",9097
1990,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1780
1990,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",3565
1990,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",7206
1990,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",354
1990,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",4059
1990,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",1806
1990,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",597
1990,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1707
1990,"Geosciences","Bachelor's Degrees","First Professional Institutions",28
1990,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",787
1990,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",254
1990,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",1538
1990,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",20884
1990,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",1253
1990,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",15244
1990,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",4988
1990,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",6214
1990,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",59320
1990,"Life Sciences","Bachelor's Degrees","First Professional Institutions",3394
1990,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",27681
1990,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",8327
1990,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",3364
1990,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",30207
1990,"Psychology","Bachelor's Degrees","First Professional Institutions",1260
1990,"Psychology","Bachelor's Degrees","Master's-granting Institutions",16925
1990,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",5626
1990,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",3091
1990,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",67676
1990,"Social Sciences","Bachelor's Degrees","First Professional Institutions",2342
1990,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",24276
1990,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",11056
1990,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",246
1990,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",11993
1990,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",752
1990,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",10693
1990,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",3580
1990,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",106
1990,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",1629
1990,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",264
1990,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",688
1990,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",601
1990,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2444
1990,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",50440
1990,"Humanities","Bachelor's Degrees","First Professional Institutions",1964
1990,"Humanities","Bachelor's Degrees","Master's-granting Institutions",22116
1990,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",10399
1990,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",1403
1990,"Religion and Theology","Bachelor's Degrees","Doctorate-granting Institutions",1490
1990,"Religion and Theology","Bachelor's Degrees","First Professional Institutions",674
1990,"Religion and Theology","Bachelor's Degrees","Master's-granting Institutions",1553
1990,"Religion and Theology","Bachelor's Degrees","Bachelor's-granting Institutions",2646
1990,"Arts and Music","Doctorate Degrees","Doctorate-granting Institutions",852
1990,"Arts and Music","Bachelor's Degrees","Doctorate-granting Institutions",20438
1990,"Arts and Music","Bachelor's Degrees","First Professional Institutions",749
1990,"Arts and Music","Bachelor's Degrees","Master's-granting Institutions",14411
1990,"Arts and Music","Bachelor's Degrees","Bachelor's-granting Institutions",4677
1990,"Architecture and Environmental Design","Doctorate Degrees","Doctorate-granting Institutions",97
1990,"Architecture and Environmental Design","Bachelor's Degrees","Doctorate-granting Institutions",7075
1990,"Architecture and Environmental Design","Bachelor's Degrees","First Professional Institutions",206
1990,"Architecture and Environmental Design","Bachelor's Degrees","Master's-granting Institutions",1605
1990,"Architecture and Environmental Design","Bachelor's Degrees","Bachelor's-granting Institutions",396
1990,"Education","Doctorate Degrees","Doctorate-granting Institutions",7004
1990,"Education","Bachelor's Degrees","Doctorate-granting Institutions",47573
1990,"Education","Bachelor's Degrees","First Professional Institutions",2898
1990,"Education","Bachelor's Degrees","Master's-granting Institutions",46158
1990,"Education","Bachelor's Degrees","Bachelor's-granting Institutions",11587
1990,"Business and Management","Doctorate Degrees","Doctorate-granting Institutions",1227
1990,"Business and Management","Bachelor's Degrees","Doctorate-granting Institutions",124131
1990,"Business and Management","Bachelor's Degrees","First Professional Institutions",7919
1990,"Business and Management","Bachelor's Degrees","Master's-granting Institutions",95132
1990,"Business and Management","Bachelor's Degrees","Bachelor's-granting Institutions",28824
1990,"Communication and Librarianship","Doctorate Degrees","Doctorate-granting Institutions",304
1990,"Communication and Librarianship","Bachelor's Degrees","Doctorate-granting Institutions",31923
1990,"Communication and Librarianship","Bachelor's Degrees","First Professional Institutions",1258
1990,"Communication and Librarianship","Bachelor's Degrees","Master's-granting Institutions",14916
1990,"Communication and Librarianship","Bachelor's Degrees","Bachelor's-granting Institutions",2406
1990,"Law","Doctorate Degrees","Doctorate-granting Institutions",113
1990,"Law","Bachelor's Degrees","Doctorate-granting Institutions",664
1990,"Law","Bachelor's Degrees","First Professional Institutions",113
1990,"Law","Bachelor's Degrees","Master's-granting Institutions",176
1990,"Law","Bachelor's Degrees","Bachelor's-granting Institutions",25
1990,"Social Service Professions","Doctorate Degrees","Doctorate-granting Institutions",285
1990,"Social Service Professions","Bachelor's Degrees","Doctorate-granting Institutions",4565
1990,"Social Service Professions","Bachelor's Degrees","First Professional Institutions",345
1990,"Social Service Professions","Bachelor's Degrees","Master's-granting Institutions",4766
1990,"Social Service Professions","Bachelor's Degrees","Bachelor's-granting Institutions",1164
1990,"Vocational Studies and Home Economics","Doctorate Degrees","Doctorate-granting Institutions",339
1990,"Vocational Studies and Home Economics","Bachelor's Degrees","Doctorate-granting Institutions",16873
1990,"Vocational Studies and Home Economics","Bachelor's Degrees","First Professional Institutions",708
1990,"Vocational Studies and Home Economics","Bachelor's Degrees","Master's-granting Institutions",10875
1990,"Vocational Studies and Home Economics","Bachelor's Degrees","Bachelor's-granting Institutions",1564
1990,"Other Non-sciences or Unknown Disciplines","Doctorate Degrees","Doctorate-granting Institutions",532
1990,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Doctorate-granting Institutions",22569
1990,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","First Professional Institutions",1066
1990,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Master's-granting Institutions",21978
1990,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Bachelor's-granting Institutions",7571
1991,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",5269
1991,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",51427
1991,"Engineering","Bachelor's Degrees","First Professional Institutions",512
1991,"Engineering","Bachelor's Degrees","Master's-granting Institutions",8601
1991,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1647
1991,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",3612
1991,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",7341
1991,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",400
1991,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",3954
1991,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",1983
1991,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",670
1991,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1657
1991,"Geosciences","Bachelor's Degrees","First Professional Institutions",31
1991,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",794
1991,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",246
1991,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",1654
1991,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",19407
1991,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",1130
1991,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",14615
1991,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",5042
1991,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",6419
1991,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",61097
1991,"Life Sciences","Bachelor's Degrees","First Professional Institutions",3302
1991,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",28371
1991,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",8797
1991,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",3450
1991,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",32247
1991,"Psychology","Bachelor's Degrees","First Professional Institutions",1418
1991,"Psychology","Bachelor's Degrees","Master's-granting Institutions",19077
1991,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",6151
1991,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",3118
1991,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",70318
1991,"Social Sciences","Bachelor's Degrees","First Professional Institutions",2723
1991,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",26184
1991,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",11987
1991,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",290
1991,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",11416
1991,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",705
1991,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",10359
1991,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",3509
1991,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",76
1991,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",1990
1991,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",361
1991,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",739
1991,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",546
1991,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2632
1991,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",54584
1991,"Humanities","Bachelor's Degrees","First Professional Institutions",2368
1991,"Humanities","Bachelor's Degrees","Master's-granting Institutions",24961
1991,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",11153
1991,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",1210
1991,"Religion and Theology","Bachelor's Degrees","Doctorate-granting Institutions",1431
1991,"Religion and Theology","Bachelor's Degrees","First Professional Institutions",657
1991,"Religion and Theology","Bachelor's Degrees","Master's-granting Institutions",1597
1991,"Religion and Theology","Bachelor's Degrees","Bachelor's-granting Institutions",2490
1991,"Arts and Music","Doctorate Degrees","Doctorate-granting Institutions",844
1991,"Arts and Music","Bachelor's Degrees","Doctorate-granting Institutions",21439
1991,"Arts and Music","Bachelor's Degrees","First Professional Institutions",755
1991,"Arts and Music","Bachelor's Degrees","Master's-granting Institutions",15252
1991,"Arts and Music","Bachelor's Degrees","Bachelor's-granting Institutions",5063
1991,"Architecture and Environmental Design","Doctorate Degrees","Doctorate-granting Institutions",135
1991,"Architecture and Environmental Design","Bachelor's Degrees","Doctorate-granting Institutions",7414
1991,"Architecture and Environmental Design","Bachelor's Degrees","First Professional Institutions",171
1991,"Architecture and Environmental Design","Bachelor's Degrees","Master's-granting Institutions",1738
1991,"Architecture and Environmental Design","Bachelor's Degrees","Bachelor's-granting Institutions",488
1991,"Education","Doctorate Degrees","Doctorate-granting Institutions",6741
1991,"Education","Bachelor's Degrees","Doctorate-granting Institutions",49420
1991,"Education","Bachelor's Degrees","First Professional Institutions",2781
1991,"Education","Bachelor's Degrees","Master's-granting Institutions",49629
1991,"Education","Bachelor's Degrees","Bachelor's-granting Institutions",12252
1991,"Business and Management","Doctorate Degrees","Doctorate-granting Institutions",1297
1991,"Business and Management","Bachelor's Degrees","Doctorate-granting Institutions",122846
1991,"Business and Management","Bachelor's Degrees","First Professional Institutions",8376
1991,"Business and Management","Bachelor's Degrees","Master's-granting Institutions",96736
1991,"Business and Management","Bachelor's Degrees","Bachelor's-granting Institutions",29635
1991,"Communication and Librarianship","Doctorate Degrees","Doctorate-granting Institutions",315
1991,"Communication and Librarianship","Bachelor's Degrees","Doctorate-granting Institutions",32082
1991,"Communication and Librarianship","Bachelor's Degrees","First Professional Institutions",1350
1991,"Communication and Librarianship","Bachelor's Degrees","Master's-granting Institutions",15936
1991,"Communication and Librarianship","Bachelor's Degrees","Bachelor's-granting Institutions",2705
1991,"Law","Doctorate Degrees","Doctorate-granting Institutions",90
1991,"Law","Bachelor's Degrees","Doctorate-granting Institutions",643
1991,"Law","Bachelor's Degrees","First Professional Institutions",154
1991,"Law","Bachelor's Degrees","Master's-granting Institutions",229
1991,"Law","Bachelor's Degrees","Bachelor's-granting Institutions",66
1991,"Social Service Professions","Doctorate Degrees","Doctorate-granting Institutions",240
1991,"Social Service Professions","Bachelor's Degrees","Doctorate-granting Institutions",4878
1991,"Social Service Professions","Bachelor's Degrees","First Professional Institutions",346
1991,"Social Service Professions","Bachelor's Degrees","Master's-granting Institutions",5016
1991,"Social Service Professions","Bachelor's Degrees","Bachelor's-granting Institutions",1254
1991,"Vocational Studies and Home Economics","Doctorate Degrees","Doctorate-granting Institutions",281
1991,"Vocational Studies and Home Economics","Bachelor's Degrees","Doctorate-granting Institutions",18071
1991,"Vocational Studies and Home Economics","Bachelor's Degrees","First Professional Institutions",776
1991,"Vocational Studies and Home Economics","Bachelor's Degrees","Master's-granting Institutions",11497
1991,"Vocational Studies and Home Economics","Bachelor's Degrees","Bachelor's-granting Institutions",1600
1991,"Other Non-sciences or Unknown Disciplines","Doctorate Degrees","Doctorate-granting Institutions",1007
1991,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Doctorate-granting Institutions",29684
1991,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","First Professional Institutions",1280
1991,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Master's-granting Institutions",27351
1991,"Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","Bachelor's-granting Institutions",9759
1992,"Engineering","Doctorate Degrees","Doctorate-granting Institutions",5491
1992,"Engineering","Bachelor's Degrees","Doctorate-granting Institutions",50907
1992,"Engineering","Bachelor's Degrees","First Professional Institutions",479
1992,"Engineering","Bachelor's Degrees","Master's-granting Institutions",8616
1992,"Engineering","Bachelor's Degrees","Bachelor's-granting Institutions",1939
1992,"Physical Sciences","Doctorate Degrees","Doctorate-granting Institutions",3762
1992,"Physical Sciences","Bachelor's Degrees","Doctorate-granting Institutions",7302
1992,"Physical Sciences","Bachelor's Degrees","First Professional Institutions",411
1992,"Physical Sciences","Bachelor's Degrees","Master's-granting Institutions",4158
1992,"Physical Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",2004
1992,"Geosciences","Doctorate Degrees","Doctorate-granting Institutions",619
1992,"Geosciences","Bachelor's Degrees","Doctorate-granting Institutions",1899
1992,"Geosciences","Bachelor's Degrees","First Professional Institutions",26
1992,"Geosciences","Bachelor's Degrees","Master's-granting Institutions",939
1992,"Geosciences","Bachelor's Degrees","Bachelor's-granting Institutions",337
1992,"Math and Computer Sciences","Doctorate Degrees","Doctorate-granting Institutions",1827
1992,"Math and Computer Sciences","Bachelor's Degrees","Doctorate-granting Institutions",19164
1992,"Math and Computer Sciences","Bachelor's Degrees","First Professional Institutions",1121
1992,"Math and Computer Sciences","Bachelor's Degrees","Master's-granting Institutions",14547
1992,"Math and Computer Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",5057
1992,"Life Sciences","Doctorate Degrees","Doctorate-granting Institutions",6794
1992,"Life Sciences","Bachelor's Degrees","Doctorate-granting Institutions",66349
1992,"Life Sciences","Bachelor's Degrees","First Professional Institutions",3251
1992,"Life Sciences","Bachelor's Degrees","Master's-granting Institutions",31116
1992,"Life Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",9524
1992,"Psychology","Doctorate Degrees","Doctorate-granting Institutions",3319
1992,"Psychology","Bachelor's Degrees","Doctorate-granting Institutions",34776
1992,"Psychology","Bachelor's Degrees","First Professional Institutions",1605
1992,"Psychology","Bachelor's Degrees","Master's-granting Institutions",20965
1992,"Psychology","Bachelor's Degrees","Bachelor's-granting Institutions",6687
1992,"Social Sciences","Doctorate Degrees","Doctorate-granting Institutions",3264
1992,"Social Sciences","Bachelor's Degrees","Doctorate-granting Institutions",74245
1992,"Social Sciences","Bachelor's Degrees","First Professional Institutions",2856
1992,"Social Sciences","Bachelor's Degrees","Master's-granting Institutions",28295
1992,"Social Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",12737
1992,"Science and Engineering Technologies","Doctorate Degrees","Doctorate-granting Institutions",176
1992,"Science and Engineering Technologies","Bachelor's Degrees","Doctorate-granting Institutions",11522
1992,"Science and Engineering Technologies","Bachelor's Degrees","First Professional Institutions",897
1992,"Science and Engineering Technologies","Bachelor's Degrees","Master's-granting Institutions",9196
1992,"Science and Engineering Technologies","Bachelor's Degrees","Bachelor's-granting Institutions",3362
1992,"Interdisciplinary or Other Sciences","Doctorate Degrees","Doctorate-granting Institutions",40
1992,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Doctorate-granting Institutions",1793
1992,"Interdisciplinary or Other Sciences","Bachelor's Degrees","First Professional Institutions",335
1992,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Master's-granting Institutions",538
1992,"Interdisciplinary or Other Sciences","Bachelor's Degrees","Bachelor's-granting Institutions",410
1992,"Humanities","Doctorate Degrees","Doctorate-granting Institutions",2839
1992,"Humanities","Bachelor's Degrees","Doctorate-granting Institutions",58621
1992,"Humanities","Bachelor's Degrees","First Professional Institutions",2376
1992,"Humanities","Bachelor's Degrees","Master's-granting Institutions",26564
1992,"Humanities","Bachelor's Degrees","Bachelor's-granting Institutions",11814
1992,"Religion and Theology","Doctorate Degrees","Doctorate-granting Institutions",1395
1992,"Religion and Theology","Bachelor's Degrees","Doctorate-granting Institutions",1370
1992,"Religion and Theology","Bachelor's Degrees","First Professional Institutions",653
1992,"Religion and Theology","Bachelor's Degrees","Master's-granting Institutions",1611
1992,"Religion and Theology","Bachelor's Degrees","Bachelor's-granting Institutions",2447
